station_name,latitude,longitude,routes,neighborhood,cd,borough
Prospect Av,40.819585,-73.90177,2 5,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX
Jackson Av,40.81649,-73.907807,2 5,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX
3 Av-149 St,40.816109,-73.917757,2 5,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX
149 St-Grand Concourse,40.81841,-73.926718,2 5,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX
Harlem-148 St,40.82388,-73.93647,3,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
145 St,40.820421,-73.936245,3,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
135 St,40.814229,-73.94077,2 3,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
125 St,40.807754,-73.945495,2 3,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
116 St,40.802098,-73.949625,2 3,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
110 St-Malcolm X Plaza,40.799075,-73.951822,2 3,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
Eastchester-Dyre Av,40.8883,-73.830834,5,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),BX12,BRONX
Baychester Av,40.878663,-73.838591,5,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),BX12,BRONX
Gun Hill Rd,40.869526,-73.846384,5,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,BRONX
Pelham Pkwy,40.858985,-73.855359,5,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,BRONX
Morris Park,40.854364,-73.860495,5,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,BRONX
Flushing-Main St,40.7596,-73.83003,7,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS
Mets-Willets Point,40.754622,-73.845625,7,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),QN81,QUEENS
111 St,40.75173,-73.855334,7,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS
103 St-Corona Plaza,40.749865,-73.8627,7,QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS
Junction Blvd,40.749145,-73.869527,7,QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS
90 St-Elmhurst Av,40.748408,-73.876613,7,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS
82 St-Jackson Hts,40.747659,-73.883697,7,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS
74 St-Broadway,40.746848,-73.891394,7,QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS
69 St,40.746325,-73.896403,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
61 St-Woodside,40.74563,-73.902984,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
52 St,40.744149,-73.912549,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
46 St-Bliss St,40.743132,-73.918435,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
40 St-Lowery St,40.743781,-73.924016,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
33 St-Rawson St,40.744587,-73.930997,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
Queensboro Plaza,40.750582,-73.940202,N W,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
Court Sq,40.747023,-73.945264,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
Hunters Point Av,40.742216,-73.948916,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
Vernon Blvd-Jackson Av,40.742626,-73.953581,7,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
Grand Central-42 St,40.751431,-73.976041,7,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN
5 Av,40.753821,-73.981963,7,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
Times Sq-42 St,40.755477,-73.987691,7,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
Times Sq-42 St,40.755983,-73.986229,S,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
Grand Central-42 St,40.752769,-73.979189,S,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
34 St-Hudson Yards,40.755882,-74.00191,7,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
96 St,40.784318,-73.947152,Q,MN11 East Harlem (CD 11 Equivalent),MN11,MANHATTAN
86 St,40.777891,-73.951787,Q,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN
72 St,40.768799,-73.958424,Q,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN
St George,40.643748,-74.073643,SIR,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
Tompkinsville,40.636949,-74.074835,SIR,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
Stapleton,40.627915,-74.075162,SIR,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
Clifton,40.621319,-74.071402,SIR,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
Grasmere,40.603117,-74.084087,SIR,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
Old Town,40.596612,-74.087368,SIR,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
Dongan Hills,40.588849,-74.09609,SIR,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
Jefferson Av,40.583591,-74.103338,SIR,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
Grant City,40.578965,-74.109704,SIR,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
New Dorp,40.57348,-74.11721,SIR,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
Oakwood Heights,40.56511,-74.12632,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Bay Terrace,40.5564,-74.136907,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Great Kills,40.551231,-74.151399,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Eltingville,40.544601,-74.16457,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Annadale,40.54046,-74.178217,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Huguenot,40.533674,-74.191794,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Prince's Bay,40.525507,-74.200064,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Pleasant Plains,40.52241,-74.217847,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Richmond Valley,40.519631,-74.229141,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Tottenville,40.512764,-74.251961,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
Arthur Kill,40.516578,-74.242096,SIR,SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND
